trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1.0}",25,0,-157.77336171356734,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.99999969157487834}",20,0,-208.107059293358,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.4, 'e': 0.99999876629970352}",20,0,-220.75820928095692,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
4,False,"{'a': 0.4, 'e': 0.99999722417504644}",25,0,-122.09546823039713,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.99999506520185821}",20,0,-121.4792809228505,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.99999228938147056}",25,0,-175.14891377646066,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.4, 'e': 0.99998889671559599}",20,0,-104.02134756841832,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.4, 'e': 0.99998488720632706}",20,0,-89.85228327750806,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.4, 'e': 0.99998026085613712}",20,0,-133.12021858401963,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.4, 'e': 0.99997501766787988}",20,0,-152.4104102567605,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.99996915764478966}",20,2,-137.34852495429908,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
12,False,"{'a': 0.4, 'e': 0.99996268079048123}",25,0,-109.61880482835198,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
