trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.16953106735434,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.79441109644165,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-264.6836139633855,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 6}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.33787750163143,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.12421947997032,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,7,-88.73591076036918,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.8947239530494,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.602858011140796,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.16104042795305,"{0: 13, 1: 7, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.8819110487698,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-208.40928501152652,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.27747689400883,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.9800793701874,"{0: 14, 1: 6, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.5106887634117,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.45870002743104,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-73.51791145354105,"{0: 15, 1: 7, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.17634138496695,"{0: 13, 1: 5, 2: 9, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.37398783705269,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.21119094517707,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.28918532983545,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.93382727137842,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-153.34407141596395,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.65551359415448,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.74067352080166,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.14481599473207,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.05483912150183,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-107.13693492525672,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.84377800643182,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.12639739004828,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-160.18218822561172,"{0: 18, 1: 7, 2: 8, 3: 1, 4: 1}",0
